Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
3/5/2024,Airport,Departure,22738,10994,12612,46344
4/5/2024,Airport,Arrival,16871,18290,14305,49466
4/5/2024,Airport,Departure,23089,12700,14904,50693
5/5/2024,Airport,Arrival,31615,30404,13150,75169
5/5/2024,Airport,Departure,23024,13615,22100,58739
6/5/2024,Airport,Arrival,24074,24475,14142,62691
6/5/2024,Airport,Departure,22399,9192,20542,52133
7/5/2024,Airport,Arrival,19954,15227,12840,48021
7/5/2024,Airport,Departure,25739,7403,12421,45563
8/5/2024,Airport,Arrival,19138,10574,14468,44180
8/5/2024,Airport,Departure,27875,6483,10866,45224
9/5/2024,Airport,Arrival,18474,7300,14725,40499
9/5/2024,Airport,Departure,30143,6727,11509,48379
10/5/2024,Airport,Arrival,21914,7018,15698,44630
10/5/2024,Airport,Departure,37172,6620,13727,57519
11/5/2024,Airport,Arrival,23488,5988,15086,44562
11/5/2024,Airport,Departure,37935,5702,13352,56989
12/5/2024,Airport,Arrival,30221,7797,13315,51333
12/5/2024,Airport,Departure,30626,6660,18393,55679
13-05-2024,Airport,Arrival,23814,7875,13163,44852
13-05-2024,Airport,Departure,28694,5868,13823,48385
14-05-2024,Airport,Arrival,25531,6522,12131,44184
14-05-2024,Airport,Departure,32911,5538,12696,51145
15-05-2024,Airport,Arrival,34932,7193,13960,56085
15-05-2024,Airport,Departure,38897,5300,12923,57120
16-05-2024,Airport,Arrival,27279,8781,14557,50617
16-05-2024,Airport,Departure,27964,6340,11957,46261
17-05-2024,Airport,Arrival,27070,9254,16552,52876
17-05-2024,Airport,Departure,30715,6906,13186,50807
18-05-2024,Airport,Arrival,32682,8534,15554,56770
18-05-2024,Airport,Departure,29628,7249,14954,51831
19-05-2024,Airport,Arrival,46268,7205,12441,65914
19-05-2024,Airport,Departure,28566,9520,18693,56779
20-05-2024,Airport,Arrival,35424,8447,13923,57794
20-05-2024,Airport,Departure,28665,6807,13860,49332
21-05-2024,Airport,Arrival,29174,8001,13138,50313
21-05-2024,Airport,Departure,25219,5951,12766,43936
22-05-2024,Airport,Arrival,25134,7910,15571,48615
22-05-2024,Airport,Departure,27047,5835,12408,45290
